#{"t_start": 1774620365.5528686, "env_id": "None"}
r,l,t
326.002209,50,157.352729
304.147073,50,158.186194
370.963258,50,159.051352
359.982273,50,159.803343
366.018467,50,160.586826
367.406375,50,161.254338
365.935932,50,161.928361
338.305688,50,162.577432
341.188344,50,163.237373
364.032684,50,163.964589
365.018896,50,164.706099
366.620195,50,165.397743
367.074428,50,166.163182
365.704265,50,166.805157
373.154683,50,167.943599
372.362488,50,168.686025
363.936641,50,169.417063
366.18528,50,170.137657
371.424303,50,171.006935
368.194198,50,171.811007
379.931609,50,172.599391
381.431548,50,173.331166
379.958216,50,174.038733
368.244439,50,174.727988
377.291425,50,175.38748
375.643126,50,176.097164
385.391491,50,176.800422
380.812005,50,177.499331
383.375672,50,178.233054
380.088269,50,178.949578
375.04281,50,179.628461
373.185961,50,180.329141
381.652428,50,181.027442
379.422729,50,181.788758
381.89177,50,182.627371
376.871424,50,183.458796
365.757909,50,184.166705
377.818721,50,184.953921
385.179175,50,185.610008
376.541195,50,186.260046
382.315252,50,186.994856
379.499798,50,187.869295
378.000631,50,188.661194
374.925439,50,189.306626
367.501516,50,189.940943
374.322768,50,190.600124
370.268752,50,191.330925
374.468629,50,192.005461
382.546374,50,192.721512
370.554253,50,193.346028
374.424635,50,194.02232
379.562581,50,194.78073
366.508264,50,195.476938
378.32485,50,196.157003
391.10288,50,197.545028
376.363384,50,198.229931
373.794172,50,198.959382
376.041498,50,199.712103
380.89566,50,200.348741
373.786781,50,201.158697
373.523454,50,201.868549
383.95687,50,202.534954
390.188897,50,203.193262
378.875694,50,203.904287
381.503847,50,204.617076
379.126892,50,205.474063
388.119598,50,206.187079
378.254506,50,206.840415
383.566701,50,207.565982
378.349123,50,208.29993
377.885178,50,208.993847
374.471487,50,209.648618
382.764265,50,210.319525
379.554775,50,211.060944
380.420939,50,211.750719
380.920308,50,212.509246
382.688141,50,213.218615
380.118067,50,213.988374
377.620502,50,214.67017
378.963081,50,215.453899
379.315056,50,216.191903
377.227936,50,216.83413
378.872634,50,217.495066
379.988626,50,218.167504
380.194083,50,218.965586
381.95946,50,219.704189
381.565169,50,220.372869
378.290777,50,221.247272
375.228039,50,221.910427
371.523984,50,222.577739
371.460435,50,223.233974
373.478534,50,223.930017
379.140323,50,224.582856
375.727495,50,225.239843
382.077777,50,226.374255
385.463323,50,227.013179
383.58409,50,227.639647
381.195848,50,228.27307
373.975057,50,229.007862
381.575766,50,229.694151
388.125493,50,230.336385
384.165682,50,230.977629
387.087731,50,231.620982
386.859545,50,232.268672
385.064404,50,232.913068
377.648792,50,233.541106
378.914124,50,234.197171
384.578021,50,234.823725
377.805227,50,235.463412
370.552405,50,236.1345
376.324195,50,236.792888
373.387736,50,237.457085
376.069907,50,238.090436
381.158041,50,238.729314
382.919565,50,239.381553
380.51493,50,240.035862
378.680159,50,240.69927
379.673374,50,241.345152
384.067445,50,241.970451
378.608371,50,242.607721
383.619991,50,243.233566
384.927853,50,243.85854
378.96287,50,244.500643
386.781828,50,245.14899
383.422713,50,245.777218
383.911164,50,246.405653
381.700514,50,247.044467
378.908236,50,247.685161
380.870279,50,248.393423
373.081795,50,249.037997
368.882421,50,249.652079
371.014165,50,250.389107
372.044955,50,251.059617
370.109157,50,251.746959
379.212855,50,253.238004
378.30975,50,253.922387
375.668764,50,254.678761
379.511075,50,255.39144
378.550575,50,256.088636
375.540146,50,256.826131
382.907128,50,257.560747
377.355183,50,258.410674
388.76058,50,259.165485
388.172163,50,259.947475
386.541169,50,260.677844
378.243481,50,261.449618
380.93281,50,262.085761
386.251261,50,262.739844
383.848309,50,263.391726
385.227875,50,264.030464
386.981211,50,264.64751
378.053247,50,265.275917
381.337122,50,265.922198
384.176435,50,266.55445
376.925532,50,267.190196
380.083217,50,267.851745
366.101921,50,268.500267
372.253991,50,269.134919
374.479376,50,269.771249
373.701386,50,270.487066
388.956778,50,271.264625
382.048312,50,272.041133
376.533364,50,272.718608
381.755137,50,273.394977
367.552381,50,274.07278
377.827811,50,274.843743
381.9194,50,275.487379
377.098212,50,276.146981
381.429203,50,276.831722
375.661559,50,277.481344
372.621877,50,278.116904
383.34525,50,278.803423
370.248872,50,279.472046
363.3814,50,280.142459
368.531291,50,281.324211
361.019352,50,281.978497
367.183154,50,282.613699
367.161501,50,283.257342
371.616795,50,283.907992
369.415597,50,284.543948
374.458372,50,285.17904
374.450351,50,285.904246
363.226355,50,286.596918
373.836322,50,287.318564
383.770452,50,288.034323
369.510791,50,288.752463
359.916946,50,289.488415
371.553627,50,290.193705
363.205724,50,290.973826
365.571227,50,291.620395
369.101038,50,292.311234
377.3086,50,293.041074
366.571395,50,293.752862
376.567232,50,294.445991
370.886363,50,295.106072
370.530854,50,295.795511
380.05725,50,296.495153
