#{"t_start": 1758870006.0661898, "env_id": "None"}
r,l,t
-876.368124,50,39.26315
-876.368124,50,39.330392
-876.368124,50,39.404696
-876.368124,50,39.473514
-876.368124,50,39.542662
-876.368124,50,39.611922
-876.368124,50,40.184386
-876.368124,50,40.266637
-876.368124,50,40.345815
-876.368124,50,40.414227
-876.368124,50,40.483908
-876.368124,50,40.554957
-876.368124,50,40.626284
-876.368124,50,40.695229
-876.368124,50,40.763924
-876.368124,50,40.834103
-876.368124,50,40.908201
-876.368124,50,40.977692
-876.368124,50,41.375773
-876.368124,50,41.445318
-876.368124,50,41.513185
-876.368124,50,41.582719
-876.368124,50,41.651193
-876.368124,50,41.718642
-876.368124,50,41.787272
-876.368124,50,41.862695
-876.368124,50,42.425965
-876.368124,50,42.513346
-876.368124,50,42.645488
-876.368124,50,42.740961
-876.368124,50,42.810227
-876.368124,50,42.880446
-876.368124,50,42.953207
-876.368124,50,43.025353
-876.368124,50,43.096813
-876.368124,50,43.176766
-876.368124,50,43.259698
-876.368124,50,43.34317
-876.368124,50,43.411301
-876.368124,50,43.485548
-876.368124,50,43.562151
-876.368124,50,43.640186
-876.368124,50,43.713127
-876.368124,50,43.783131
-876.368124,50,43.877408
-876.368124,50,43.950428
-876.368124,50,44.024967
-876.368124,50,44.606732
-876.368124,50,44.686393
-876.368124,50,44.764964
-876.368124,50,44.835219
-876.368124,50,44.903938
-876.368124,50,44.974457
-876.368124,50,45.043326
-876.368124,50,45.113556
-876.368124,50,45.183815
-876.368124,50,45.252379
-876.368124,50,45.32037
-876.368124,50,45.751657
-876.368124,50,45.829846
-876.368124,50,45.918886
-876.368124,50,46.008606
-876.368124,50,46.088188
-876.368124,50,46.163992
-876.368124,50,46.237797
-876.368124,50,46.308129
-876.368124,50,46.380363
