#{"t_start": 1771319763.528739, "env_id": "None"}
r,l,t
88.944741,100,97.814553
88.944741,100,97.955044
88.944741,100,98.088975
88.944741,100,99.107655
88.944741,100,99.249754
88.944741,100,99.384978
88.945818,100,99.519859
88.944741,100,99.655396
88.975374,100,99.791058
88.944741,100,99.926358
89.018542,100,100.061835
88.944741,100,100.198143
89.039461,100,100.33274
88.982074,100,100.467002
88.944741,100,100.602549
88.944741,100,100.736526
88.944741,100,100.870895
88.994188,100,101.002745
88.944741,100,101.140198
88.944741,100,101.273943
88.944741,100,101.407735
89.002599,100,101.53995
89.160975,100,101.672938
88.973451,100,102.724136
88.944741,100,102.879133
88.944741,100,103.023105
88.944741,100,103.161361
89.332508,100,103.293118
88.944741,100,103.424555
88.944741,100,103.5566
88.944741,100,103.68857
89.072274,100,103.822722
88.944741,100,103.956133
88.944741,100,104.09003
88.944741,100,104.223652
88.944741,100,104.35766
89.212148,100,104.490914
88.944741,100,104.62319
88.944741,100,104.759135
88.944741,100,104.891145
88.944741,100,105.025248
88.944741,100,105.78757
88.943494,100,105.920673
88.944741,100,106.893676
88.943449,100,107.048522
89.008115,100,107.187928
88.96486,100,107.323095
88.964211,100,107.456258
88.955427,100,107.58954
88.963713,100,107.722703
88.944741,100,107.856311
88.944741,100,107.990153
88.971731,100,108.13254
88.944741,100,108.271502
88.944741,100,108.406088
89.001031,100,108.541414
88.944741,100,108.673028
88.944741,100,108.805856
88.94552,100,108.937788
89.001514,100,109.072764
89.030014,100,109.204762
88.985677,100,109.338198
88.995272,100,109.469709
88.944741,100,109.601996
88.957839,100,110.58718
89.291692,100,110.73971
89.125232,100,110.873549
88.944741,100,111.005431
89.10171,100,111.138229
88.944741,100,111.270912
89.162089,100,111.404514
89.005298,100,111.537217
88.944741,100,111.669708
88.944741,100,111.803654
88.944223,100,111.93649
88.944741,100,112.068334
89.108567,100,112.20163
88.944741,100,112.334608
88.97214,100,112.467759
88.953999,100,112.600668
88.944741,100,112.76027
88.944741,100,112.893956
88.990444,100,113.026601
88.944741,100,113.160005
88.944741,100,114.185626
88.944741,100,114.344858
88.950891,100,114.48457
88.952236,100,114.617528
89.020587,100,114.750636
88.944741,100,114.885266
89.566012,100,115.018508
89.525978,100,115.765689
88.944741,100,115.900407
88.944741,100,116.035141
89.037409,100,116.169769
88.979581,100,116.303599
89.277228,100,116.437369
88.979419,100,116.573254
89.110117,100,116.707567
88.978422,100,116.844403
89.050329,100,116.978519
88.944741,100,117.112297
88.944374,100,117.246423
88.95221,100,117.382184
89.011225,100,117.518663
88.944741,100,118.532263
88.944274,100,118.682134
89.291298,100,118.819882
88.944741,100,118.95489
89.004845,100,119.089146
88.944741,100,119.223494
88.944741,100,119.357763
89.107779,100,119.492863
88.972557,100,119.626196
89.231143,100,119.759984
89.09726,100,119.902469
88.944741,100,120.046325
89.179478,100,120.192613
89.121179,100,120.335772
88.944741,100,120.477267
88.944741,100,120.623993
89.053433,100,120.758927
88.944741,100,120.89315
89.210511,100,121.025523
88.942243,100,121.157856
88.949285,100,122.136611
89.340873,100,122.300449
88.943994,100,122.439268
89.669145,100,122.572093
88.948324,100,122.704366
89.432265,100,122.838597
88.948544,100,122.972303
89.084178,100,123.104673
88.944741,100,123.237112
88.944019,100,123.369993
88.945037,100,123.507737
88.961708,100,123.653214
89.264431,100,123.785725
89.569826,100,123.917526
88.941491,100,124.050919
88.944342,100,124.183623
89.275018,100,124.95908
89.271215,100,125.094122
89.153148,100,125.228726
89.639602,100,125.363664
88.949191,100,125.498669
88.942927,100,126.506572
89.120852,100,126.655083
88.972139,100,126.789076
88.947198,100,126.921985
89.112572,100,127.055171
89.294367,100,127.188748
89.161849,100,127.321033
35.584256,39,127.375831
88.944741,100,127.508985
90.643206,100,127.644076
90.003044,100,127.776742
90.146292,100,127.909935
89.244429,100,128.043974
13.111351,14,128.063407
89.591033,100,128.196495
89.862341,100,128.328511
89.921081,100,128.463181
88.977755,100,128.624946
89.657002,100,128.772352
90.320854,100,128.90531
89.600741,100,129.037888
89.89688,100,129.17136
89.358056,100,130.181416
89.32539,100,130.321692
89.212436,100,130.454639
89.080106,100,130.588555
89.84273,100,130.720855
89.919301,100,130.853719
89.218032,100,130.986297
74.130914,82,131.095002
89.072336,100,131.228704
89.654998,100,131.362507
89.330157,100,131.495536
89.045816,100,131.628604
89.048296,100,131.762582
88.944741,100,131.899376
89.173114,100,132.032138
88.944612,100,132.164895
89.923322,100,132.302556
88.994269,100,132.436761
66.506735,74,132.535392
89.323027,100,132.669237
90.114089,100,132.80395
14.001601,15,132.824709
89.07182,100,133.869434
89.116439,100,134.014966
89.027509,100,134.148112
89.159515,100,134.891591
89.043615,100,135.027781
89.191361,100,135.160475
89.356984,100,135.293905
89.203667,100,135.426504
89.013775,100,135.55985
89.368974,100,135.693744
89.972037,100,135.827486
88.957425,100,135.96043
88.944429,100,136.092694
89.136201,100,136.228207
89.017661,100,136.362418
89.134706,100,136.496214
88.985193,100,136.630282
89.162517,100,136.764549
89.013218,100,136.898811
89.877762,100,137.032886
89.176679,100,138.011944
89.040438,100,138.156582
89.141885,100,138.290683
89.036751,100,138.424011
89.648366,100,138.556827
89.019539,100,138.689494
89.801092,100,138.824258
89.825571,100,138.966971
89.344088,100,139.105565
88.967568,100,139.239224
89.003061,100,139.372407
89.192244,100,139.505529
89.017227,100,139.638789
89.314799,100,139.773993
89.554696,100,139.90739
89.203732,100,140.047268
89.16409,100,140.203062
88.944741,100,140.338333
89.402614,100,140.473403
89.23393,100,140.609613
89.048693,100,140.745479
89.185611,100,141.760557
89.011342,100,141.906221
89.498073,100,142.038161
89.011957,100,142.170205
90.434813,100,142.303922
89.300247,100,142.439576
89.698006,100,142.574814
89.84236,100,142.707869
88.942694,100,142.840673
89.131127,100,142.972412
89.200622,100,143.105358
89.113014,100,143.238155
90.230739,100,143.986239
89.213633,100,144.154528
89.09713,100,144.291343
90.101709,100,144.423502
89.352856,100,144.555779
90.338709,100,144.689306
89.270576,100,144.82381
89.332818,100,144.963051
89.874938,100,146.041893
90.439866,100,146.208655
90.206667,100,146.343483
89.200258,100,146.478448
91.00821,100,146.611939
89.590017,100,146.747339
89.277968,100,146.885469
90.112754,100,147.019857
90.213672,100,147.155069
91.172563,100,147.289223
89.852762,100,147.424887
89.490674,100,147.559105
89.139664,100,147.692227
89.050147,100,147.825594
90.589108,100,147.960286
57.830318,63,148.047835
90.790831,100,148.180499
90.221371,100,148.313699
89.741309,100,148.448076
91.215535,100,148.583532
89.988033,100,148.71935
91.34679,100,149.740385
91.021942,100,149.894854
90.09007,100,150.042162
90.000327,100,150.196917
89.655431,100,150.345749
90.354844,100,150.494719
90.048407,100,150.655915
22.736571,24,150.69452
89.175793,100,150.830488
89.728664,100,150.970309
89.295401,100,151.10484
89.848409,100,151.237766
89.827108,100,151.370453
89.723146,100,151.504069
90.487459,100,151.637535
89.732666,100,151.783364
89.93043,100,151.927734
88.962249,100,152.061874
89.952857,100,152.197363
90.043703,100,152.331169
90.429901,100,152.465669
90.840027,100,153.474922
90.034438,100,154.257342
89.896639,100,154.398956
89.725718,100,154.543882
91.54702,100,154.677841
89.886716,100,154.811769
89.926357,100,154.945131
45.063908,49,155.011744
82.701248,91,155.134917
90.305296,100,155.269215
89.27985,100,155.400776
90.052167,100,155.533333
90.630107,100,155.664345
91.30959,100,155.79668
90.332447,100,155.928452
89.40599,100,156.061254
89.821912,100,156.193209
3.33875,3,156.198285
90.912874,100,156.330283
89.342829,100,156.462442
89.353503,100,156.594338
90.368473,100,156.725854
90.076817,100,157.768082
89.794148,100,157.923964
90.743516,100,158.060487
89.847566,100,158.195149
89.537031,100,158.328035
89.555164,100,158.460144
90.01407,100,158.592521
89.698109,100,158.724898
91.125444,100,158.857851
89.813281,100,158.990572
90.231429,100,159.123817
90.347508,100,159.255471
89.111877,100,159.388288
89.380624,100,159.522519
90.9248,100,159.666085
90.722851,100,159.798102
91.985935,100,159.930199
89.753714,100,160.06763
89.721047,100,160.202392
90.783307,100,160.335656
89.598783,100,160.469059
89.977346,100,161.476199
91.037882,100,161.618717
91.081729,100,161.752611
92.72516,100,161.885694
91.245984,100,162.018008
90.750293,100,162.151774
89.280926,100,162.28362
90.959166,100,162.418891
92.57258,100,162.553059
92.169834,100,162.686965
91.701343,100,163.447772
90.770405,100,163.606819
92.16418,100,163.739584
92.117692,100,163.872068
90.435277,100,164.003408
89.687168,100,164.135615
90.491377,100,164.268486
91.820625,100,164.402028
91.082128,100,164.534661
90.153725,100,164.668384
90.410888,100,165.698075
91.875252,100,165.859053
91.880042,100,165.992303
93.528369,100,166.12488
90.654594,100,166.257449
89.97881,100,166.389749
91.579029,100,166.525846
92.733341,100,166.66098
92.583288,100,166.796271
91.313373,100,166.931229
93.397487,100,167.064787
93.251456,100,167.197864
91.138564,100,167.330203
92.009084,100,167.463591
92.975842,100,167.59725
92.555364,100,167.729736
94.959177,100,167.86836
93.237219,100,168.001151
93.996491,100,168.135432
92.602865,100,168.269989
91.990258,100,168.403979
91.78244,100,169.414995
96.86996,100,169.562612
100.22337,100,169.695863
96.771471,100,169.83413
99.868298,100,169.97889
93.203819,100,170.111527
96.809298,100,170.244828
94.723561,100,170.377217
101.172499,100,170.509487
61.716378,66,170.597591
96.798525,100,170.730229
96.426581,100,170.86548
97.245098,100,170.998339
92.376389,100,171.130656
95.358361,100,171.265532
96.341539,100,171.397842
97.838858,100,171.548824
92.318298,100,171.694497
94.859456,100,171.828389
96.883503,100,172.579524
93.753454,100,173.582361
100.14989,100,173.737807
98.883714,100,173.876695
98.083832,100,174.010266
100.090664,100,174.143684
96.52367,100,174.278163
103.508969,100,174.413232
96.171674,100,174.547095
100.761984,100,174.681262
99.89068,100,174.814465
98.521128,100,174.951059
97.416853,100,175.096817
101.579073,100,175.231976
101.422219,100,175.366441
98.367486,100,175.499872
96.598285,100,175.636839
100.002274,100,175.791732
60.931189,61,175.875564
98.359144,100,176.007371
102.274569,100,176.143184
96.908596,100,176.278057
101.53807,100,177.365982
102.746896,100,177.528575
111.82952,100,177.663552
104.410136,100,177.798248
103.22988,100,177.932696
108.884309,100,178.066949
102.749254,100,178.20213
104.387908,100,178.336642
100.871948,100,178.472445
110.364963,100,178.607428
104.344526,100,178.741009
38.154819,35,178.788437
105.192588,100,178.921599
104.605219,100,179.05505
100.8247,100,179.189798
103.745775,100,179.326501
104.179361,100,179.461631
102.321349,100,179.595164
101.872396,100,179.730078
98.305746,100,179.867602
102.841939,100,180.014012
112.089651,100,181.125752
103.617021,100,181.285792
101.865555,100,181.426131
59.067696,56,181.502429
110.049079,100,181.637555
106.060385,100,181.77291
107.175581,100,181.907116
108.756876,100,182.042718
105.781218,100,182.177336
112.430818,100,182.935447
104.766854,100,183.089425
108.038173,100,183.224597
113.574638,100,183.356814
101.177413,100,183.488861
115.871067,100,183.620935
110.094205,100,183.754029
98.70626,100,183.887846
104.89114,100,184.019938
61.198143,54,184.092236
108.229504,100,184.224067
109.613455,100,184.35764
99.089454,100,184.490726
108.20523,100,185.532664
104.492483,100,185.678059
110.283142,100,185.814536
111.270221,100,185.950308
107.708222,100,186.086445
106.450137,100,186.22107
113.526173,100,186.355916
113.574508,100,186.491327
113.016521,100,186.625926
107.984667,100,186.760841
112.873264,100,186.895767
107.585611,100,187.029483
110.210769,100,187.163438
114.352874,100,187.298114
106.106002,100,187.433947
111.501142,100,187.590727
102.930694,100,187.723857
113.870925,100,187.857398
111.041217,100,187.989711
108.449782,100,188.123251
110.808957,100,189.117157
122.526586,100,189.269993
120.012849,100,189.409096
119.309672,100,189.542778
128.794785,100,189.675215
121.861641,100,189.808463
122.969589,100,189.940833
122.764021,100,190.072511
119.924962,100,190.205305
126.432461,100,190.337614
130.241722,100,190.483651
125.134031,100,190.619484
128.827315,100,190.751382
122.364168,100,190.883
121.355466,100,191.016435
119.662475,100,191.149193
132.945145,100,191.285951
125.245307,100,192.051109
129.43319,100,192.207011
126.650848,100,192.340363
130.672174,100,192.472571
